"","Estimate","Std. Error","t value","Pr(>|t|)","edf","Ref.df","F","p-value"
"(Intercept)",4.03183547141736,0.228331118412492,17.657844885311,7.18769529851007e-65,3.61204934806387,3.61204934806387,12.9073581329931,1.91718746040937e-09
"plot.typePlanting",-0.351267798323291,0.291025566586791,-1.2069997919531,0.22757795591774,4.10036582428094,4.10036582428094,29.5488760100894,3.50725740076331e-24
"plot.typeRemnant",0.100928653117466,0.266118663480053,0.379261836797218,0.704534543427926,4.71390577523684,4.71390577523684,33.8128728303351,4.24013586240922e-31
"plot.typeYoung regrowth",0.656919243145246,0.285457297709443,2.30128726228573,0.0214799281284446,3.72472061678706,3.72472061678706,28.2226415796366,6.94441970025372e-21
