"","Estimate","Std. Error","t value","Pr(>|t|)","edf","Ref.df","F","p-value"
"(Intercept)",-0.0354097815497906,0.27719063215655,-0.127745231771729,0.898357830647214,4.06858809280512,4.06858809280512,33.4377791608187,1.22298696390407e-27
"plot.typePlanting",-0.833709072323461,0.390797058872821,-2.13335554450725,0.0329639654971372,3.8223469619015,3.8223469619015,28.3930739683014,6.63281430444606e-19
"plot.typeRemnant",0.490200351048369,0.316606886704187,1.54829339358741,0.121640831629432,4.7028267558047,4.7028267558047,87.7247992592437,1.52334673336298e-79
"plot.typeYoung regrowth",-0.284153985320548,0.342339418686709,-0.830035835226415,0.406574348773407,4.20912521682704,4.20912521682704,59.5790036162809,2.74500347218406e-50
